ProteinGroup	KEGGNumber	SecondOrganisms	ThirdOrganisms	GenusNCBI	KEGGGene	KEGGScore
Human_swiss_sp|Q9ULA0|DNPEP_HUMAN	K01267	Animals	Mammals	Pan	ptr:459964	969.533
Human_swiss_sp|Q9Y281|COF2_HUMAN	K05765	Animals	Mammals	Propithecus	pcoq:105821541	330.487
Human_swiss_sp|Q9Y3B3|TMED7_HUMAN	K20349	Animals	Mammals	Pan	ptr:471605	431.409
Human_swiss_sp|Q9Y6R7|FCGBP_HUMAN		Animals	Mammals	Macaca	mcc:700539	10744.7
MAX_P02769	K16141	Animals	Mammals	Bos	bta:280717	1239.94
MH0001_GL0008109	K02600	Bacteria	Bacteroidota	Segatella	pcoi:LK433_01570	813.527
MH0001_GL0017996	K12524	Bacteria	Bacteroidota	Segatella	pcoi:LK433_07785	1538.09
MH0001_GL0020755	K00826	Bacteria	Bacteroidota	Segatella	pcoi:LK433_13840	704.131
MH0002_GL0072932	K02111	Bacteria	Bacteroidota	Bacteroides	bth:BT_0718	917.146
MH0003_GL0003148		Bacteria	Bacteroidota	Prevotella	pmuf:J4864_09525	1515.36
MH0003_GL0055966	K01854	Bacteria	Clostridia	Ruminococcus	rum:CK1_38130	698.353
MH0004_GL0011122	K02992	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0808	299.671
MH0005_GL0021441		Bacteria	Bacteroidota	Prevotella	pmuf:J4864_09525	1335.86
MH0006_GL0121407	K12573	Bacteria	Bacteroidota	Pseudoprevotella	alq:C7Y71_008025	1060.44
MH0006_GL0131422	K02948	Bacteria	Bacteroidota	Paraprevotella	pclr:PC1C4_02250	249.21
MH0006_GL0137136		Bacteria	Bacteroidota	Paraprevotella	pclr:PC1C4_00330	1154.81
MH0006_GL0154183	K01953	Bacteria	Bacteroidota	Alistipes	afd:Alfi_1461	1124.77
MH0006_GL0155615	K00012	Bacteria	Clostridia	Enterocloster	cbol:CGC65_21580	717.613
MH0007_GL0003438	K02406	Bacteria	Bacilli	Salicibibacter	rue:DT065_15865	331.643
MH0008_GL0040329	K21572	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0311	459.529
MH0009_GL0015794	K00895	Bacteria	Bacteroidota	Hoylesella	peo:AS203_05915	778.859
MH0011_GL0000961	K01940	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_28090	593.964
MH0011_GL0025206	K01951	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_3587	959.133
MH0011_GL0097746	K02112	Bacteria	Bacteroidota	Bacteroides	bth:BT_0711	885.56
MH0012_GL0026546		Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_2564	874.004
MH0012_GL0114975	K02358	Bacteria	Clostridia	Dysosmobacter	obj:EIO64_15725	632.869
MH0012_GL0193636	K01848	Bacteria	Other Bacillota	Dialister	dho:Dia5BBH33_14380	974.156
MH0012_GL0205813	K00134	Bacteria	Bacteroidota	Parabacteroides	pdi:BDI_0287	614.379
MH0012_GL0219073	K02355	Bacteria	Other Bacillota	Megasphaera	med:MELS_0769	1366.67
MH0012_GL0231513	K01639	Bacteria	Bacteroidota	Bacteroides	bfr:BF1706	589.726
MH0014_GL0027038	K00240	Bacteria	Bacteroidota	Hoylesella	peo:AS203_11950	501.13
MH0016_GL0030768	K03046	Bacteria	Clostridia	Lachnospira	eel:EUBELI_00284	2138.61
MH0016_GL0081173		Bacteria	Bacteroidota	Parabacteroides	pmer:INE87_03932	864.759
MH0017_GL0006177	K02406	Bacteria	Clostridia	(no genus)	bpen:NQ488_12740	235.343
MH0017_GL0006411	K19802	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_32170	679.478
MH0020_GL0031208	K03737	Bacteria	Bacteroidota	Parabacteroides	parc:CI960_05425	2359.33
MH0021_GL0032172	K01803	Bacteria	Clostridia	Agathobacter	ere:EUBREC_1524	467.233
MH0023_GL0022168		Bacteria	Bacteroidota	Segatella	shoi:KUA50_009975	1246.88
MH0026_GL0025473	K03324	Bacteria	Bacteroidota	Segatella	pcoi:LK433_02580	854.744
MH0030_GL0015353	K01889	Bacteria	Bacteroidota	Segatella	pcoi:LK433_11020	651.744
MH0032_GL0020556	K00027	Bacteria	Other Bacillota	Dialister	dpn:BCB69_04315	628.246
MH0035_GL0038031		Bacteria	Clostridia	Simiaoa	ssun:H9Q77_03260	142.895
MH0037_GL0001414	K21572	Bacteria	Bacteroidota	Bacteroides	bth:BT_3311	658.292
MH0037_GL0013923	K00262	Bacteria	Bacteroidota	Bacteroides	bth:BT_1973	888.256
MH0039_GL0044146	K00525	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0003	1546.56
MH0039_GL0047513	K03770	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_2560	1212.98
MH0041_GL0016776	K02952	Bacteria	Bacteroidota	Parabacteroides	pdi:BDI_2357	207.608
MH0045_GL0054558	K18700	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_32500	184.496
MH0046_GL0038096	K01945	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_1095	739.954
MH0047_GL0036394	K02358	Bacteria	Clostridia	Sellimonas	sint:K5I26_04795	743.036
MH0047_GL0038084	K06942	Bacteria	Bacteroidota	Xylanibacter	pru:PRU_2502	658.292
MH0047_GL0039022	K16150	Bacteria	Bacteroidota	Hoylesella	peo:AS203_02240	756.133
MH0055_GL0012904	K01277	Bacteria	Bacteroidota	Bacteroides	bth:BT_1846	983.015
MH0057_GL0001908		Bacteria	Bacteroidota	Phocaeicola	bdo:EL88_24420	1639.4
MH0057_GL0008260	K12251	Bacteria	Bacteroidota	Prevotella	pmz:HMPREF0659_A5981	492.271
MH0057_GL0016580	K00351	Bacteria	Bacteroidota	Paraprevotella	pclr:PC1C4_18230	733.021
MH0057_GL0017159	K01874	Bacteria	Bacteroidota	Paraprevotella	pclr:PC1C4_03040	1379
MH0057_GL0018775	K12373	Bacteria	Bacteroidota	Bacteroides	bth:BT_1051	1214.52
MH0057_GL0032782	K01918	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_2898	451.44
MH0057_GL0035401	K00053	Bacteria	Bacteroidota	Segatella	pcoi:LK433_06995	667.537
MH0063_GL0005273		Bacteria	Bacteroidota	Segatella	shoi:KUA50_005415	1165.21
MH0069_GL0051054	K02931	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0793	350.517
MH0069_GL0062737	K03615	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_23110	144.821
MH0069_GL0065137	K02994	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_14850	163.696
MH0071_GL0042226	K02431	Bacteria	Clostridia	Blautia	rob:CK5_18570	292.737
MH0074_GL0068292	K01804	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_2320	969.918
MH0076_GL0052556	K02906	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0805	403.675
MH0077_GL0035462	K10254	Bacteria	Clostridia	Roseburia	rho:RHOM_02400	152.14
MH0087_GL0000047		Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_16090	256.914
MH0088_GL0047812		Bacteria	Clostridia	Simiaoa	ssun:H9Q77_08625	475.707
MH0088_GL0062493	K00864	Bacteria	Clostridia	(no genus)	bprm:CL3_07730	982.245
MH0088_GL0090143	K00848	Bacteria	Clostridia	Ruminococcus	rum:CK1_37730	938.332
MH0088_GL0107046	K02874	Bacteria	Clostridia	Lacrimispora	csh:Closa_3757	207.994
MH0092_GL0040972		Bacteria	Other Bacillota	Megamonas	mhg:MHY_05360	367.466
MH0093_GL0010665	K01803	Bacteria	Bacteroidota	Bacteroides	bth:BT_3929	465.692
MH0094_GL0075871	K02406	Bacteria	Clostridia	Agathobacter	ere:EUBREC_3396	253.832
MH0100_GL0052617		Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_26440	712.22
MH0100_GL0127516	K02867	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_12970	267.7
MH0100_GL0129471	K02358	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_18790	766.918
MH0101_GL0030337	K03544	Bacteria	Clostridia	Blautia	rob:CK5_19240	509.22
MH0103_GL0067022	K01571	Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_02975	843.958
MH0105_GL0016783	K02601	Bacteria	Clostridia	Paludihabitans	palm:RBG61_05425	231.876
MH0107_GL0113046	K02390	Bacteria	Clostridia	Roseburia	rho:RHOM_06985	660.988
MH0110_GL0025297	K01006	Bacteria	Clostridia	Blautia	rob:CK5_25200	1695.25
MH0110_GL0034529	K01689	Bacteria	Clostridia	Roseburia	rho:RHOM_10580	759.599
MH0113_GL0003321	K04043	Bacteria	Clostridia	Lachnospira	eel:EUBELI_01360	1093.95
MH0113_GL0009195	K02470	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_1388	1263.06
MH0119_GL0114321	K10540	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_10020	703.36
MH0122_GL0076036		Bacteria	Clostridia	Blautia	bwx:NQ550_20945	402.905
MH0122_GL0076627		Bacteria	Clostridia	Subdoligranulum	svj:NQ490_12015	875.544
MH0122_GL0102458	K01740	Bacteria	Clostridia	Coprococcus	coo:CCU_13740	742.651
MH0124_GL0004871	K01006	Bacteria	Mycoplasmatota	(no genus)	tbz:BK011_04800	1280
MH0124_GL0059575	K00939	Bacteria	Clostridia	Butyrivibrio	bpb:bpr_I0615	224.942
MH0124_GL0143174	K04043	Bacteria	Clostridia	Pseudoclostridium	cthd:CDO33_05470	830.476
MH0125_GL0073399	K03046	Bacteria	Bacteroidota	Bacteroides	bth:BT_2733	2617.8
MH0126_GL0001151	K00656	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_2880	1333.16
MH0126_GL0001187	K18139	Bacteria	Bacteroidota	Parabacteroides	pdi:BDI_0383	690.649
MH0126_GL0019349	K02469	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_3298	1495.72
MH0130_GL0013384	K07107	Bacteria	Bacteroidota	Segatella	pcoi:LK433_01990	272.322
MH0130_GL0067967	K01885	Bacteria	Bacteroidota	Segatella	pcoi:LK433_00650	1004.2
MH0131_GL0110658		Bacteria	Clostridia	Subdoligranulum	svj:NQ490_12235	803.897
MH0131_GL0154213	K03545	Bacteria	Actinomycetota	Bifidobacterium	blo:BL0947	843.958
MH0135_GL0007871	K02926	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0804	340.887
MH0135_GL0082397	K00040	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_24750	990.719
MH0136_GL0083951	K01812	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_23370	945.266
MH0140_GL0038883		Bacteria	Clostridia	Butyrivibrio	bcro:NQ527_05700	575.089
MH0140_GL0046792	K02965	Bacteria	Clostridia	Lacrimispora	csh:Closa_3763	187.963
MH0141_GL0094531	K02406	Bacteria	Clostridia	Pseudobutyrivibrio	pxv:FXF36_03535	471.855
MH0143_GL0027970	K01881	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_15395	830.476
MH0143_GL0060465		Bacteria	Clostridia	Terrisporobacter	tgc:L0P85_19150	285.419
MH0143_GL0159952		Bacteria	Clostridia	Cellulosilyticum	cle:Clole_1703	414.075
MH0144_GL0012049	K01955	Bacteria	Other Bacillota	Dialister	dpn:BCB69_01880	1838.93
MH0144_GL0085682	K02886	Bacteria	Other Bacillota	Turicibacter	tur:AT726_06680	439.499
MH0147_GL0033645	K01006	Bacteria	Clostridia	Vescimonas	vfa:MM35RIKEN_17100	1450.65
MH0147_GL0042942	K00013	Bacteria	Clostridia	Dorea	dlo:K5I24_01260	842.802
MH0149_GL0085441		Bacteria	Clostridia	Anaerobutyricum	ehl:EHLA_1655	438.728
MH0152_GL0080942	K01604	Bacteria	Bacteroidota	Bacteroides	bth:BT_1686	1003.82
MH0157_GL0094076	K02886	Bacteria	Clostridia	Agathobaculum	agat:RWV98_03265	420.624
MH0157_GL0125105	K00625	Bacteria	Clostridia	Blautia	rob:CK5_24860	307.76
MH0164_GL0060041	K19824	Bacteria	Other Bacillota	Megasphaera	med:MELS_0116	332.798
MH0172_GL0127064	K02357	Bacteria	Clostridia	Wujia	wcp:H9Q76_07260	431.409
MH0185_GL0020303	K01876	Bacteria	Bacteroidota	Segatella	pcoi:LK433_08775	589.726
MH0185_GL0062621	K01868	Bacteria	Bacteroidota	Segatella	pcoi:LK433_10945	877.085
MH0185_GL0075117	K01006	Bacteria	Bacteroidota	Prevotella	pmz:HMPREF0659_A5567	629.402
MH0187_GL0008403	K03569	Bacteria	Bacteroidota	Bacteroides	bth:BT_3813	641.343
MH0188_GL0001615	K00134	Bacteria	Clostridia	Anaerobutyricum	ehl:EHLA_0909	662.144
MH0188_GL0088680		Bacteria	Clostridia	Blautia	blab:EYS05_04245	1083.94
MH0188_GL0089797	K09013	Bacteria	Actinomycetota	Bifidobacterium	blo:BL0870	514.227
MH0188_GL0185721		Bacteria	Clostridia	Subdoligranulum	svj:NQ490_04465	444.506
MH0189_GL0025386	K01624	Bacteria	Other Bacillota	Miniphocaeibacter	mhap:JFY71_01115	373.244
MH0192_GL0022877	K04077	Bacteria	Clostridia	Blautia	rob:CK5_03110	332.028
MH0192_GL0026361	K02745	Bacteria	Actinomycetota	Coriobacterium	cgo:Corgl_0405	276.174
MH0193_GL0012773	K03046	Bacteria	Clostridia	Roseburia	rho:RHOM_00985	2137.46
MH0193_GL0057191	K02970	Bacteria	Clostridia	Ruminococcus	ral:Rumal_3099	83.9593
MH0195_GL0090764		Bacteria	Clostridia	Subdoligranulum	svj:NQ490_05415	922.154
MH0197_GL0126175		Bacteria	Bacteroidota	Alistipes	afd:Alfi_1826	860.136
MH0200_GL0025472		Bacteria	Clostridia	Blautia	blab:EYS05_10190	1664.05
MH0200_GL0196781	K03969	Bacteria	Clostridia	Lachnospira	eel:EUBELI_01560	337.806
MH0203_GL0045149	K00262	Bacteria	Clostridia	Anaerotignum	cpro:CPRO_26170	688.723
MH0203_GL0058270	K03553	Bacteria	Clostridia	Caproicibacter	cfem:HCR03_10620	385.956
MH0204_GL0076954	K01610	Bacteria	Clostridia	Dorea	dlo:K5I24_04655	333.183
MH0206_GL0111989	K06901	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_30730	837.41
MH0212_GL0006589	K00262	Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_16760	906.746
MH0212_GL0084820	K02886	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_14740	552.362
MH0217_GL0160322		Bacteria	Clostridia	Christensenella	cmiu:B1H56_02185	295.819
MH0224_GL0070636	K10254	Bacteria	Clostridia	(no genus)	bpen:NQ488_03170	1055.05
MH0224_GL0112161	K02519	Bacteria	Other Bacillota	Solobacterium	smoe:RGT18_13280	442.965
MH0227_GL0015156	K04043	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_12320	1138.64
MH0229_GL0090301		Bacteria	Clostridia	Blautia	rob:CK5_01020	296.204
MH0230_GL0070365	K01915	Bacteria	Other Bacillota	Phascolarctobacterium	pfac:PFJ30894_00577	1327.77
MH0233_GL0021837	K01818	Bacteria	Clostridia	Blautia	rob:CK5_18380	701.434
MH0233_GL0102149	K04759	Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_07750	285.804
MH0236_GL0075610	K14260	Bacteria	Clostridia	Anaerostipes	bprl:CL2_25400	980.704
MH0239_GL0065227	K02986	Bacteria	Clostridia	Blautia	rob:CK5_20860	375.17
MH0243_GL0103565		Bacteria	Bacteroidota	Segatella	shoi:KUA50_006740	1798.48
MH0244_GL0124662	K02470	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_20050	1306.58
MH0250_GL0262281	K01624	Bacteria	Clostridia	Lawsonibacter	lasa:L9O85_07360	531.176
MH0251_GL0072568		Bacteria	Clostridia	Faecalibacterium	fpr:FP2_08210	841.262
MH0251_GL0121713	K02358	Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_13300	747.658
MH0252_GL0039289	K02874	Bacteria	Clostridia	Anaerotruncus	acol:K5I23_07865	212.231
MH0252_GL0184446	K10200	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_10310	699.508
MH0259_GL0120051	K00048	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_03020	734.947
MH0259_GL0139137	K00262	Bacteria	Clostridia	Vescimonas	vfa:MM35RIKEN_07060	769.229
MH0259_GL0176399	K06942	Bacteria	Bacteroidota	Porphyromonas	pgi:PG_0048	551.977
MH0265_GL0002602	K03043	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0813	2366.27
MH0265_GL0162741		Bacteria	Clostridia	Vescimonas	vfa:MM35RIKEN_02220	361.303
MH0267_GL0117850		Bacteria	Clostridia	Lacrimispora	lxa:OW255_06045	206.453
MH0268_GL0082510	K01610	Bacteria	Clostridia	(no genus)	bpen:NQ488_10840	1004.59
MH0268_GL0173004	K03856	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_01430	641.728
MH0270_GL0022394		Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_12240	814.298
MH0270_GL0058843		Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_00900	431.795
MH0271_GL0126954	K01624	Bacteria	Clostridia	(no genus)	ruk:A4V00_16635	470.314
MH0274_GL0044822	K01493	Bacteria	Clostridia	Blautia	rob:CK5_21140	174.866
MH0274_GL0147438	K00088	Bacteria	Bacteroidota	Bacteroides	bth:BT_3845	887.1
MH0275_GL0129479		Bacteria	Clostridia	Hungatella	hhj:NQ487_03870	196.823
MH0276_GL0172881	K00767	Bacteria	Bacteroidota	Segatella	pcoi:LK433_10785	561.222
MH0276_GL0224587	K02886	Bacteria	Clostridia	Lawsonibacter	lasa:L9O85_14215	385.956
MH0281_GL0038819	K04077	Bacteria	Clostridia	Christensenella	cmiu:B1H56_04435	261.536
MH0281_GL0071487		Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0015	449.514
MH0281_GL0096870	K00962	Bacteria	Clostridia	Anaerotruncus	acol:K5I23_04960	325.094
MH0286_GL0104996	K22396	Bacteria	Other Bacillota	Megasphaera	mhw:ACT01_13560	766.918
MH0303_GL0006468	K02358	Bacteria	Clostridia	(no genus)	cbaf:JS518_03255	628.632
MH0303_GL0014066	K01006	Bacteria	Clostridia	(no genus)	esr:ES1_08210	560.836
MH0305_GL0102266		Bacteria	Clostridia	Hungatella	hhj:NQ487_20845	571.237
MH0307_GL0180694		Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_04080	280.026
MH0308_GL0034488	K03431	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_31530	879.782
MH0309_GL0017860	K04077	Bacteria	Clostridia	Ruminococcus	ral:Rumal_0116	841.647
MH0310_GL0096639	K03406	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_09790	658.677
MH0313_GL0016480	K01714	Bacteria	Clostridia	Hungatella	hhj:NQ487_30335	628.632
MH0314_GL0028678	K01610	Bacteria	Bacteroidota	Coprobacter	copr:Cop2CBH44_23550	1033.86
MH0314_GL0154708	K00346	Bacteria	Bacteroidota	Bacteroides	bth:BT_1160	752.666
MH0315_GL0028193	K02906	Bacteria	Clostridia	Dysosmobacter	obj:EIO64_06200	267.314
MH0318_GL0009298	K04567	Bacteria	Clostridia	Pseudobutyrivibrio	pxv:FXF36_03720	1096.65
MH0318_GL0139235	K02867	Bacteria	Clostridia	Intestinibacillus	int:RX717_15270	247.284
MH0326_GL0086705		Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_16440	644.81
MH0333_GL0067146	K01952	Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_13650	2103.56
MH0333_GL0119601	K11176	Bacteria	Clostridia	Dorea	dlo:K5I24_15075	425.246
MH0335_GL0094895		Bacteria	Bacteroidota	Bacteroides	bth:BT_4367	706.442
MH0336_GL0097832	K03521	Bacteria	Clostridia	Roseburia	rho:RHOM_02780	156.762
MH0337_GL0003002	K01740	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_24380	735.332
MH0337_GL0012713	K02358	Bacteria	Bacteroidota	Muribaculum	pary:A4V02_10455	744.962
MH0338_GL0049524	K02071	Bacteria	Clostridia	Vescimonas	vfa:MM35RIKEN_15400	504.982
MH0339_GL0215019	K11176	Bacteria	Clostridia	Dorea	dlo:K5I24_15075	429.869
MH0340_GL0132716	K10540	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_30680	479.559
MH0341_GL0054772	K00789	Bacteria	Other Bacillota	Turicibacter	tur:AT726_07585	326.25
MH0341_GL0102431	K02355	Bacteria	Bacilli	Streptococcus	spy:SPy_0273	1305.04
MH0343_GL0015628	K02994	Bacteria	Clostridia	Ruminococcus	ral:Rumal_0050	224.557
MH0345_GL0087811	K01006	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_06300	1609.73
MH0348_GL0135260	K02355	Bacteria	Clostridia	Aristaeella	alac:JYE50_05835	1157.13
MH0351_GL0006420	K10254	Bacteria	Clostridia	Solibaculum	sman:C12CBH8_11820	607.06
MH0351_GL0072984	K04567	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_4107	1040.02
MH0354_GL0078014	K21571	Bacteria	Bacteroidota	Tannerella	tfo:BFO_2268	194.897
MH0355_GL0148797		Bacteria	Clostridia	Agathobacter	ere:EUBREC_2146	446.817
MH0356_GL0152792	K02355	Bacteria	Clostridia	Blautia	rob:CK5_25310	434.876
MH0358_GL0016713	K01939	Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_12560	811.601
MH0361_GL0166495		Bacteria	Bacteroidota	Bacteroides	bsal:K6V25_07840	1686.77
MH0365_GL0135523	K01006	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_06300	506.523
MH0369_GL0026310	K03977	Bacteria	Bacteroidota	Paramuribaculum	pii:NF347_09645	797.734
MH0370_GL0021527	K01953	Bacteria	Clostridia	Wansuia	whj:H9Q79_07660	870.537
MH0370_GL0029760	K01222	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_07725	688.723
MH0371_GL0087622	K00927	Bacteria	Clostridia	Anaerostipes	bprl:CL2_29540	783.097
MH0372_GL0033251	K01951	Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_12570	911.368
MH0372_GL0043015	K00088	Bacteria	Clostridia	Enterocloster	cbol:CGC65_07945	938.332
MH0373_GL0081818	K00335	Bacteria	Clostridia	Anaerocolumna	anr:Ana3638_22195	1077.39
MH0373_GL0112954	K02355	Bacteria	Clostridia	(no genus)	ruk:A4V00_07180	1151.73
MH0373_GL0116967	K00874	Bacteria	Bacteroidota	Duncaniella	dun:FDZ78_01120	611.298
MH0376_GL0120645	K01624	Bacteria	Bacteroidota	Muribaculum	pary:A4V02_09805	635.18
MH0381_GL0118587	K00239	Bacteria	Bacteroidota	Bacteroides	bth:BT_3054	1133.63
MH0381_GL0148015	K00652	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_3166	680.248
MH0385_GL0030117	K02358	Bacteria	Clostridia	Christensenella	cmiu:B1H56_10285	699.893
MH0385_GL0206702	K04072	Bacteria	Chloroflexota	Pelolinea	psub:Pelsub_P2016	1366.29
MH0389_GL0025499		Bacteria	Bacteroidota	Segatella	pcoi:LK433_13285	1291.17
MH0389_GL0029301	K02990	Bacteria	Clostridia	Pseudobutyrivibrio	pxv:FXF36_04345	154.836
MH0389_GL0063168	K02961	Bacteria	Clostridia	Mediterraneibacter	rgn:RGna_08260	165.622
MH0389_GL0082784	K06942	Bacteria	Clostridia	Enterocloster	cbol:CGC65_11675	317.39
MH0389_GL0130251	K03768	Bacteria	Clostridia	Enterocloster	cbol:CGC65_03850	305.834
MH0389_GL0154539	K00134	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_17440	410.609
MH0389_GL0174798	K03043	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_14005	2418.27
MH0390_GL0125747	K04077	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_15155	275.789
MH0390_GL0194280		Bacteria	Clostridia	Vescimonas	vcop:MM50RIKEN_23060	511.146
MH0394_GL0018582		Bacteria	Other Bacillota	Selenomonas	ssg:Selsp_0548	332.798
MH0402_GL0025865	K21572	Bacteria	Bacteroidota	Petrimonas	pmuc:ING2E5A_1209	699.508
MH0407_GL0040794	K21573	Bacteria	Bacteroidota	Xylanibacter	pru:PRU_2681	982.63
MH0407_GL0127135		Bacteria	Bacteroidota	Prevotella	pfus:ADJ77_09670	1551.95
MH0409_GL0027800	K01803	Bacteria	Clostridia	(no genus)	cbaf:JS518_03540	340.117
MH0415_GL0161389	K03737	Bacteria	Other Bacillota	Phascolarctobacterium	pfac:PFJ30894_00084	1349.73
MH0415_GL0240971	K01952	Bacteria	Bacteroidota	Coprobacter	copr:Cop2CBH44_12950	1838.16
MH0421_GL0021620	K02906	Bacteria	Bacteroidota	Parabacteroides	pdi:BDI_2380	366.696
MH0421_GL0080121	K00134	Bacteria	Clostridia	(no genus)	esr:ES1_19200	547.74
MH0422_GL0145500	K02867	Bacteria	Clostridia	Wansuia	whj:H9Q79_15955	271.937
MH0430_GL0056455		Bacteria	Clostridia	Anaerocolumna	acht:bsdcttw_38720	172.17
MH0432_GL0032032	K21071	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_05410	758.829
MH0433_GL0173376	K00134	Bacteria	Actinomycetota	Collinsella	caer:CSV91_00875	648.277
MH0434_GL0217453	K02931	Bacteria	Clostridia	Caloramator	cale:FDN13_09140	276.944
MH0437_GL0149308	K01006	Bacteria	Clostridia	Coprococcus	coo:CCU_15430	1591.25
MH0437_GL0266761	K01872	Bacteria	Clostridia	Roseburia	rho:RHOM_06690	1252.65
MH0438_GL0184626		Bacteria	Clostridia	Ruminococcus	rus:RBI_II00328	422.55
MH0441_GL0161345	K01523	Bacteria	Clostridia	Caproicibacterium	caml:H6X83_06910	162.54
MH0442_GL0171854	K04043	Bacteria	Bacteroidota	Hoylesella	peo:AS203_06930	1053.89
MH0445_GL0073145	K03043	Bacteria	Clostridia	Caproiciproducens	capr:EQM14_07535	342.813
MH0446_GL0035937	K01870	Bacteria	Clostridia	(no genus)	bpen:NQ488_13930	565.459
MH0448_GL0107970	K02358	Bacteria	Clostridia	Lawsonibacter	lasa:L9O85_04980	665.225
MH0448_GL0122599	K02503	Bacteria	Clostridia	Dorea	dlo:K5I24_10545	279.641
MH0448_GL0236255	K13479	Bacteria	Clostridia	Vescimonas	vcop:MM50RIKEN_11780	518.85
MH0450_GL0212819	K01755	Bacteria	Clostridia	Wansuia	whj:H9Q79_02545	774.237
N013A_GL0045648	K00346	Bacteria	Bacteroidota	Segatella	pcoi:LK433_08690	878.626
N037A_GL0039670		Bacteria	Clostridia	Clostridium	cac:CA_C2564	588.186
N039A_GL0080189		Bacteria	Clostridia	Subdoligranulum	svj:NQ490_09810	355.525
N042A_GL0053817		Bacteria	Clostridia	Mediterraneibacter	rlr:NQ541_10615	1071.23
N047A_GL0082718	K01889	Bacteria	Clostridia	Hungatella	hhj:NQ487_16160	275.404
N075A_GL0045434	K12574	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_23260	966.066
N083A_GL0014387	K03737	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_20590	336.65
N085A_GL0063783		Bacteria	Bacteroidota	Bacteroides	bhl:Bache_2506	1360.9
N085A_GL0088056	K03530	Bacteria	Bacteroidota	Bacteroides	bth:BT_1499	172.555
N088A_GL0066402	K01955	Bacteria	Clostridia	Anaerostipes	bprl:CL2_09720	1025.39
N103A_GL0062765		Bacteria	Bacteroidota	Phocaeicola	pcop:I6J50_10425	905.59
NLF002_GL0035223		Bacteria	Clostridia	Roseburia	rho:RHOM_11810	805.823
